Destination,Activity,Region,Sub-region,Rating,Expense
Christ the Redeemer,Historical Site,Brazil,Bahia,3.5,3761
Sapporo Snow Festival,Snorkeling,Japan,Tokyo Prefecture,3.5,353
CN Tower,Temple Visit,Canada,Ontario,4.3,4635
Venice Canals,Beach Day,Italy,Lazio,3.2,157
Pyramids of Giza,Boat Cruise,Egypt,Giza Governorate,4.6,2280
Philae Temple,National Park Visit,Egypt,Cairo Governorate,3.9,4324
Salvador Pelourinho,Temple Visit,Brazil,Amazonas,4,332
Louvre Museum,Mountain Climbing,France,Brittany,4.7,2417
Disney World,Wine Tasting,USA,Texas,4,4071
Kruger National Park,Hiking,South Africa,Eastern Cape,4.1,1698
Goa Beaches,Beach Day,India,Rajasthan,4.8,978
Karnak Temple,Cultural Festival,Egypt,Luxor Governorate,3.6,1047
Mont Saint-Michel,Shopping,France,Normandy,4,3087
Tokyo Disneyland,Snorkeling,Japan,Osaka Prefecture,4.6,4191
Disney World,Snorkeling,USA,New York,3.7,1363
Great Barrier Reef,Desert Safari,Australia,Western Australia,5,3728
Old Quebec City,Boat Cruise,Canada,Alberta,4.1,4305
Philae Temple,Snorkeling,Egypt,Luxor Governorate,4.6,4509
Milan Cathedral,National Park Visit,Italy,Lazio,3.2,131
Milan Cathedral,Historical Site,Italy,Tuscany,3.7,4413
Fushimi Inari Shrine,Snorkeling,Japan,Osaka Prefecture,4.1,4497
Tokyo Disneyland,Mountain Climbing,Japan,Kyoto Prefecture,3.6,3156
Salvador Pelourinho,Beach Day,Brazil,Rio de Janeiro,3.9,4662
Taj Mahal,Cultural Festival,India,Kerala,4.2,4989
Addo Elephant Park,Mountain Climbing,South Africa,Gauteng,3.7,1573
Amazon Rainforest,Mountain Climbing,Brazil,Amazonas,4.5,792
Uluru,Snorkeling,Australia,Queensland,4,1795
Christ the Redeemer,Scuba Diving,Brazil,São Paulo,4.9,1170
Amazon Rainforest,Boat Cruise,Brazil,Rio de Janeiro,4.2,925
Banff National Park,Food Tasting,Canada,British Columbia,3,3988
Amazon Rainforest,Scuba Diving,Brazil,Bahia,4.7,328
Yellowstone National Park,Snorkeling,USA,Florida,3.2,4047
Karnak Temple,Hiking,Egypt,Giza Governorate,4.5,1646
Statue of Liberty,Museum Visit,USA,Nevada,3.6,3407
Christ the Redeemer,Cycling Tour,Brazil,Bahia,4.7,2942
French Riviera,Wildlife Safari,France,Brittany,3.5,704
Fushimi Inari Shrine,Museum Visit,Japan,Osaka Prefecture,3.3,3467
Old Quebec City,Desert Safari,Canada,Ontario,3.8,2639
Fushimi Inari Shrine,Mountain Climbing,Japan,Osaka Prefecture,4.3,265
Egyptian Museum,Wildlife Safari,Egypt,Luxor Governorate,3.6,4419
Tokyo Disneyland,Skiing,Japan,Hokkaido,3.1,1014
Philae Temple,Temple Visit,Egypt,Luxor Governorate,3.7,4796
Mont Saint-Michel,Wine Tasting,France,Brittany,3.7,519
